번호	문제	정답	선지1	선지2	선지3
1	\(6 × \bigg($1 \over 3 $ + $1 \over 2 $ \bigg)	5	\($6 \over 5 $	12	18
2	\(\bigg($1 \over 3 $ + $1 \over 2 $ \bigg) × 6 	5	\($6 \over 5$	12	18
3	\(\bigg($1 \over 2 $ - $1 \over 3 $ \bigg) × 12 	2	4	6	12
4	\(12 × \bigg($1 \over 2 $ - $1 \over 3 $ \bigg) 	2	4	6	12
5	\(24 × \bigg($7 \over 8 $ + $5 \over 12 $ \bigg)	31	2	3	7
6	\(\bigg($7 \over 8 $ + $5 \over 12 $ \bigg) × 24  	31	2	3	7
7	\(12 × \bigg($7 \over 3 $ - $5 \over 4 $ \bigg)	13	1	3	4
8	\(\bigg($7 \over 3 $ - $5 \over 4 $ \bigg) × 12 	13	1	3	4
9	\((-30) × \bigg($3 \over 5 $ - $1 \over 6 $\bigg)	\(-23	\(-6	\(-5	\(-3
10	\(\bigg($3 \over 5 $ - $1 \over 6 $\bigg) × (-30) 	\(-23	\(-6	\(-5	\(-3
11	\(\bigg($9 \over 4 $ - $4 \over 9 $ \bigg) × 36 	65	4	9	12
12	\(36 × \bigg($9 \over 4 $ - $4 \over 9 $ \bigg)  	65	4	9	12
13	\(\bigg(3 - $11 \over 7 $\bigg) × (-14) 	\(-20	\(-18	\(-16	\(-14
14	\((-14) × \bigg(3 - $11 \over 7 $\bigg) 	\(-20	\(-18	\(-16	\(-14
15	\(1.27 × 45 + 1.27 × 55	127	12.7	1270	12700
16	\(4.5 × 1.27 + 55 × 1.27	127	12.7	1270	12700
17	\(28 × 337 - 18 × 337	3370	33.7	337	33700
18	\(337 × 28 - 337 × 18	3370	33.7	337	33700
19	\(17 × 78 + 17 × 22	1700	1666	170	166
20	\(78 × 17 + 22 × 17	1700	1666	170	166
21	\(117 × 39 - 17 × 39	3900	5226	1300	390
22	\(39 × 117 - 39 × 17	3900	5226	1300	390
23	\(37 × $25 \over 7 $ - 2 × $25 \over 7 $	125	75	750	1250
24	\($25 \over 7 $ × 37 - $25 \over 7 $ × 2	125	75	750	1250
25	\(8 × (100 + 4)	832	768	800	3200
26	\((100 + 4) × 8	832	768	800	3200
27	\(17 × (100 + 2)	1734	1034	1666	1700
28	\((100 + 2) × 17	1734	1034	1666	1700
29	\(30 × \bigg($5 \over 6 $ - $2 \over 5 $\bigg) 	13	5	6	9
30	\(\bigg($5 \over 6 $ - $2 \over 5 $\bigg) × 30	13	5	6	9
31	\((100 + 1) × 27	2727	2600	2673	2700
32	\(27 × (100 + 1)	2727	2600	2673	2700
33	\((100 + 3) × 13	1339	1300	1313	1326
34	\(13 × (100 + 3)	1339	1300	1313	1326
35	\(\bigg($3 \over 4 $ - $1 \over 5 $\bigg) × 20	11	4	5	\($20 \over 9 $
36	\(20 × \bigg($3 \over 4 $ - $1 \over 5 $\bigg)	11	4	5	\($20 \over 9 $
37	\(37 × 99 × + 37 × 1	3700	\(-37	37	370
38	\(99 × 37 + 1 × 37	3700	\(-37	37	370
39	\(1.23 × 99 + 1.23 × 1	123	1.23	12.3	1230
40	\(99 × 1.23 + 1 × 1.23	123	1.23	12.3	1230
41	\(1.2 × 54 + 1.2 × 46	120	1.2	12	1200
42	\(54 × 1.2 + 46 × 1.2	120	1.2	12	1200
43	\(3.21 × 54 + 3.21 × 46	321	3.21	32.1	3210
44	\(54 × 3.21 + 46 × 3.21	321	3.21	32.1	3210
45	\(26 × (-11) + 74 × (-11)	\(-1100	\(-110	110	1100
46	\((-11) × 26 + (-11) × 74	\(-1100	\(-110	110	1100
47	\(102 × 2.97 - 2 × 2.97	297	0.297	2.97	29.7
48	\(2.97 × 102 - 2.97 × 2	297	0.297	2.97	29.7
49	\($1 \over 4 $ × 3.7 + $3 \over 4 $ × 3.7	3.7	0.37	37	370
50	\(3.7 × $1 \over 4 $ + 3.7 × $3 \over 4 $	3.7	0.37	37	370
